Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
001_001,0.078332,0.004966,0.004965,-0.000089,0.000011,0.000089,0.078332,0.004965,-0.000089,-0.000088,-0.000011,0.078317,0.000011,-0.000079,0.000087,0.012511,-0.000024,0.000024,0.012504,0.000025,0.012510
001_002,0.089788,0.006478,0.006478,-0.000063,-0.000001,0.000063,0.089788,0.006478,-0.000063,-0.000063,0.000001,0.089788,-0.000001,-0.000063,0.000063,0.014682,0.000010,-0.000010,0.014682,-0.000010,0.014682
001_003,0.100057,0.007976,0.007976,0.000018,0.000022,-0.000018,0.100066,0.007977,0.000016,0.000013,-0.000023,0.100057,0.000022,0.000018,-0.000018,0.016833,-0.000029,0.000031,0.016835,0.000031,0.016832
001_004,0.111745,0.009868,0.009867,-0.000031,-0.000002,0.000030,0.111816,0.009873,-0.000009,-0.000021,-0.000000,0.111807,0.000001,-0.000024,0.000003,0.019084,-0.000001,0.000003,0.019079,-0.000001,0.019080
001_005,0.121472,0.011560,0.011557,0.000064,0.000001,-0.000039,0.121506,0.011560,0.000050,0.000050,0.000002,0.121472,0.000001,0.000064,-0.000039,0.021132,-0.000011,0.000008,0.021132,0.000008,0.021132
001_006,0.131669,0.013470,0.013471,0.000206,0.000007,-0.000207,0.131669,0.013470,0.000206,0.000206,-0.000007,0.131669,0.000007,0.000206,-0.000207,0.023230,0.000022,-0.000022,0.023230,-0.000022,0.023230
001_007,0.141559,0.015361,0.015361,0.000082,-0.000025,-0.000058,0.141550,0.015359,0.000061,0.000082,0.000029,0.141528,-0.000026,0.000069,-0.000067,0.025650,0.000002,-0.000005,0.025644,-0.000008,0.025647
001_008,0.150722,0.017281,0.017310,0.000010,-0.000037,-0.000009,0.151017,0.017339,0.000016,0.000005,0.000038,0.151313,-0.000039,0.000012,-0.000012,0.028040,0.000003,0.000009,0.028069,-0.000015,0.028054
001_009,0.161819,0.019702,0.019702,0.000064,-0.000001,-0.000064,0.161819,0.019702,0.000064,0.000064,0.000001,0.161819,-0.000001,0.000064,-0.000064,0.030427,-0.000016,0.000016,0.030427,0.000016,0.030427
001_010,0.168638,0.021182,0.021179,0.000034,0.000007,-0.000034,0.168695,0.021185,0.000020,0.000020,-0.000007,0.168666,0.000007,0.000034,-0.000020,0.032619,-0.000017,0.000016,0.032623,0.000016,0.032615
001_011,0.181278,0.024240,0.024236,-0.000013,-0.000020,0.000031,0.181329,0.024239,-0.000011,-0.000014,0.000020,0.181287,-0.000018,-0.000030,0.000009,0.035198,-0.000002,0.000003,0.035197,0.000002,0.035191
001_012,0.190844,0.026673,0.026609,-0.000052,0.000002,0.000045,0.191337,0.026669,-0.000079,-0.000055,-0.000011,0.190789,0.000001,-0.000063,0.000041,0.037685,0.000024,-0.000047,0.037677,-0.000046,0.037657
001_013,0.201668,0.029279,0.029291,-0.000177,0.000008,0.000210,0.201540,0.029274,-0.000203,-0.000172,-0.000003,0.201639,0.000010,-0.000194,0.000191,0.040702,-0.000002,0.000001,0.040695,-0.000003,0.040709
001_014,0.211184,0.031782,0.031782,-0.000243,-0.000011,0.000239,0.211135,0.031772,-0.000244,-0.000228,0.000010,0.211135,-0.000012,-0.000249,0.000219,0.043230,0.000011,-0.000011,0.043217,-0.000010,0.043230
001_015,0.220021,0.034230,0.034203,0.000028,0.000005,-0.000031,0.220098,0.034228,0.000048,0.000025,-0.000007,0.219932,0.000002,0.000042,-0.000066,0.045917,-0.000000,-0.000000,0.045936,-0.000005,0.045905
001_016,0.228990,0.036667,0.036660,-0.000109,-0.000004,0.000103,0.228989,0.036660,-0.000112,-0.000102,0.000002,0.228984,-0.000002,-0.000105,0.000101,0.048656,-0.000022,0.000026,0.048647,0.000024,0.048647
001_017,0.240538,0.040107,0.040100,0.000029,0.000020,-0.000050,0.240972,0.040169,0.000059,0.000067,-0.000020,0.241053,0.000011,0.000023,-0.000077,0.051443,-0.000012,0.000019,0.051469,0.000001,0.051414
001_018,0.251436,0.043230,0.043279,0.000150,-0.000003,-0.000174,0.251110,0.043227,0.000144,0.000144,-0.000007,0.251399,-0.000002,0.000153,-0.000156,0.054640,-0.000020,0.000012,0.054637,0.000012,0.054673
001_019,0.261084,0.046079,0.046045,0.000156,-0.000012,-0.000191,0.261324,0.046084,0.000152,0.000152,0.000001,0.261064,-0.000012,0.000169,-0.000176,0.057621,0.000003,-0.000007,0.057627,-0.000008,0.057600
001_020,0.273093,0.049798,0.049798,0.000124,-0.000024,-0.000124,0.273093,0.049798,0.000124,0.000124,0.000024,0.273093,-0.000024,0.000124,-0.000124,0.060630,0.000016,-0.000016,0.060630,-0.000016,0.060630
001_021,0.282929,0.052926,0.052944,-0.000020,0.000017,0.000015,0.282824,0.052926,-0.000024,-0.000024,-0.000014,0.282929,0.000017,-0.000020,0.000015,0.063970,0.000021,-0.000015,0.063970,-0.000015,0.063980
001_022,0.292530,0.056032,0.055979,0.000017,0.000023,-0.000027,0.292899,0.056032,-0.000007,-0.000007,-0.000042,0.292530,0.000023,0.000017,-0.000027,0.067099,0.000011,-0.000039,0.067099,-0.000039,0.067084
001_023,0.304398,0.059975,0.060010,-0.000003,0.000011,0.000020,0.304397,0.060007,-0.000020,-0.000002,-0.000008,0.304622,0.000004,-0.000017,0.000013,0.070362,-0.000007,0.000008,0.070378,-0.000002,0.070384
001_024,0.317180,0.064390,0.064388,-0.000152,-0.000014,0.000183,0.317359,0.064422,-0.000177,-0.000182,0.000028,0.317432,-0.000018,-0.000176,0.000161,0.074328,0.000021,0.000002,0.074335,-0.000007,0.074318
001_025,0.327256,0.067792,0.067827,-0.000174,-0.000017,0.000173,0.327463,0.067861,-0.000171,-0.000174,0.000025,0.327671,-0.000033,-0.000172,0.000173,0.077395,0.000011,0.000002,0.077434,-0.000024,0.077415
001_026,0.339542,0.072104,0.072094,-0.000007,-0.000014,-0.000001,0.339523,0.072085,-0.000008,0.000014,0.000013,0.339504,-0.000012,0.000012,-0.000005,0.081010,-0.000028,0.000029,0.080982,0.000028,0.080996
001_027,0.349518,0.075694,0.075690,0.000238,0.000040,-0.000242,0.349515,0.075687,0.000237,0.000246,-0.000040,0.349511,0.000040,0.000245,-0.000240,0.084669,-0.000045,0.000046,0.084659,0.000044,0.084664
001_028,0.363381,0.080615,0.080616,0.000058,0.000008,-0.000058,0.363579,0.080661,0.000061,0.000048,0.000002,0.363589,-0.000002,0.000041,-0.000060,0.089089,-0.000026,0.000039,0.089130,0.000025,0.089090
001_029,0.375240,0.085099,0.085112,0.000197,-0.000012,-0.000214,0.375327,0.085126,0.000207,0.000203,0.000017,0.375394,-0.000022,0.000207,-0.000209,0.093092,0.000011,-0.000004,0.093116,-0.000017,0.093104
001_030,0.389140,0.090339,0.090343,0.000246,0.000090,-0.000259,0.389160,0.090339,0.000256,0.000256,-0.000093,0.389140,0.000090,0.000246,-0.000259,0.097102,-0.000069,0.000068,0.097102,0.000068,0.097111
001_031,0.402561,0.095417,0.095421,0.000219,0.000013,-0.000211,0.402420,0.095398,0.000187,0.000195,-0.000006,0.402464,0.000009,0.000213,-0.000192,0.101435,0.000016,-0.000010,0.101416,-0.000016,0.101435
001_032,0.412373,0.099366,0.099377,-0.000222,-0.000043,0.000235,0.412321,0.099366,-0.000226,-0.000231,0.000038,0.412388,-0.000038,-0.000244,0.000237,0.104976,0.000024,-0.000030,0.104974,-0.000028,0.104984
001_033,0.426588,0.104961,0.104950,-0.000120,-0.000015,0.000137,0.426644,0.104961,-0.000124,-0.000124,0.000021,0.426588,-0.000015,-0.000120,0.000137,0.109290,0.000041,-0.000038,0.109290,-0.000038,0.109281
001_034,0.440409,0.110531,0.110616,0.000091,0.000051,-0.000101,0.440756,0.110674,0.000093,0.000104,-0.000021,0.441255,-0.000021,0.000104,-0.000100,0.114588,-0.000009,0.000040,0.114658,-0.000037,0.114632
001_035,0.454169,0.116299,0.116356,-0.000102,0.000041,0.000098,0.454496,0.116412,-0.000096,-0.000094,-0.000012,0.454823,-0.000016,-0.000087,0.000092,0.119335,-0.000008,0.000041,0.119398,-0.000025,0.119367
001_036,0.467987,0.121968,0.121996,-0.000001,-0.000017,0.000012,0.468179,0.122028,0.000010,0.000004,0.000033,0.468352,-0.000049,-0.000015,0.000024,0.123392,0.000025,-0.000012,0.123414,-0.000043,0.123400
001_037,0.483123,0.128285,0.128285,0.000231,0.000040,-0.000231,0.483123,0.128285,0.000231,0.000231,-0.000040,0.483123,0.000040,0.000231,-0.000231,0.128529,0.000012,-0.000012,0.128529,-0.000012,0.128529
001_038,0.496234,0.133985,0.133968,0.000293,0.000107,-0.000288,0.496567,0.134036,0.000310,0.000291,-0.000100,0.496473,0.000094,0.000277,-0.000290,0.132858,-0.000022,0.000031,0.132890,0.000013,0.132843
001_039,0.512595,0.141082,0.141082,-0.000147,0.000049,0.000147,0.512595,0.141082,-0.000147,-0.000147,-0.000049,0.512595,0.000049,-0.000147,0.000147,0.138094,-0.000074,0.000074,0.138094,0.000074,0.138094
001_040,0.527507,0.147685,0.147784,0.000224,0.000006,-0.000208,0.527531,0.147778,0.000221,0.000208,-0.000003,0.528083,0.000027,0.000196,-0.000207,0.143999,0.000014,-0.000015,0.144053,0.000001,0.144058
001_041,0.544217,0.155157,0.155179,-0.000164,-0.000102,0.000137,0.544186,0.155171,-0.000171,-0.000176,0.000104,0.544299,-0.000110,-0.000160,0.000143,0.149463,0.000088,-0.000079,0.149473,-0.000092,0.149475
001_042,0.558281,0.161564,0.161620,-0.000063,0.000098,0.000067,0.558243,0.161613,-0.000069,-0.000060,-0.000103,0.558552,0.000141,-0.000062,0.000064,0.153902,-0.000085,0.000080,0.153923,0.000126,0.153929
001_043,0.577968,0.170584,0.170494,0.000051,0.000055,-0.000110,0.578082,0.170551,0.000064,0.000072,-0.000057,0.577708,0.000019,0.000107,-0.000143,0.160353,-0.000009,0.000027,0.160354,-0.000003,0.160278
001_044,0.591008,0.176730,0.176730,-0.000332,-0.000137,0.000332,0.591008,0.176730,-0.000332,-0.000332,0.000137,0.591008,-0.000137,-0.000332,0.000332,0.164932,0.000023,-0.000023,0.164932,-0.000023,0.164932
001_045,0.611364,0.186282,0.186282,0.000007,-0.000118,-0.000007,0.611364,0.186282,0.000007,0.000007,0.000118,0.611364,-0.000118,0.000007,-0.000007,0.171650,0.000113,-0.000113,0.171650,-0.000113,0.171650
001_046,0.627516,0.194082,0.194086,0.000347,0.000145,-0.000357,0.627478,0.194082,0.000343,0.000376,-0.000140,0.627480,0.000131,0.000378,-0.000344,0.177676,-0.000038,0.000038,0.177691,0.000029,0.177686
001_047,0.646058,0.203093,0.203076,-0.000060,0.000088,0.000100,0.646192,0.203102,-0.000085,-0.000081,-0.000081,0.646099,0.000091,-0.000050,0.000094,0.183569,-0.000119,0.000114,0.183577,0.000119,0.183566
001_048,0.665945,0.212849,0.212980,0.000255,0.000130,-0.000270,0.666321,0.213050,0.000259,0.000281,-0.000081,0.666997,0.000007,0.000266,-0.000272,0.190014,-0.000008,0.000053,0.190104,-0.000059,0.190080
001_049,0.687315,0.223097,0.223035,-0.000299,-0.000196,0.000330,0.687366,0.223057,-0.000316,-0.000309,0.000209,0.687020,-0.000213,-0.000273,0.000331,0.195963,0.000138,-0.000138,0.195953,-0.000145,0.195956
