IDX,FullName
001,195-1-0-001-tm
002,195-1-0-001-tp
003,195-1-0-001-tt
004,195-1-0-002-tm
005,195-1-0-002-tp
006,195-1-0-002-tt
007,195-1-0-011-tm
008,195-1-0-011-tp
009,195-1-0-012-tm
010,195-1-0-022-tm
011,195-1-0-022-tp
012,196-1-0-001-tm
013,196-1-0-001-tp
014,196-1-0-001-tt
015,196-1-0-002-tm
016,196-1-0-002-tp
017,196-1-0-002-tt
018,196-1-0-011-tm
019,196-1-0-011-tp
020,196-1-0-012-tm
021,196-1-0-022-tm
022,196-1-0-022-tp
023,197-1-0-001-tm
024,197-1-0-001-tp
025,197-1-0-001-tt
026,197-1-0-002-tm
027,197-1-0-002-tp
028,197-1-0-002-tt
029,197-1-0-011-tm
030,197-1-0-011-tp
031,197-1-0-012-tm
032,197-1-0-022-tm
033,197-1-0-022-tp
034,198-1-0-112-tm
035,198-1-0-112-tp
036,198-1-0-112-tt
037,198-1-1-112-tm
038,198-1-1-112-tp
039,198-1-1-112-tt
040,199-1-0-112-tm
041,199-1-0-112-tp
042,199-1-0-112-tt
043,199-1-1-112-tm
044,199-1-1-112-tp
045,199-1-1-112-tt
046,200-1-0-001-tm
047,200-1-0-001-tp
048,200-1-0-001-tt
049,200-1-0-002-tm
050,200-1-0-002-tp
051,200-1-0-002-tt
052,200-1-0-011-tm
053,200-1-0-011-tp
054,200-1-0-012-tm
055,200-1-0-022-tm
056,200-1-0-022-tp
057,201-1-0-002-tm
058,201-1-0-002-tp
059,201-1-0-002-tt
060,201-1-0-011-tm
061,201-1-0-011-tp
062,201-1-0-022-tm
063,201-1-0-022-tp
064,202-1-0-001-tm
065,202-1-0-001-tp
066,202-1-0-001-tt
067,202-1-0-002-tm
068,202-1-0-002-tp
069,202-1-0-002-tt
070,202-1-0-011-tm
071,202-1-0-011-tp
072,202-1-0-012-tm
073,202-1-0-022-tm
074,202-1-0-022-tp
075,203-1-0-001-tm
076,203-1-0-001-tp
077,203-1-0-001-tt
078,203-1-0-012-tm
079,203-1-0-022-tm
080,203-1-0-022-tp
081,203-1-0-111-tm
082,203-1-0-111-tp
083,203-1-0-111-tt
084,203-2-0-111-tm
085,203-2-0-111-tp
086,203-2-0-111-tt
087,204-1-0-001-tm
088,204-1-0-001-tp
089,204-1-0-001-tt
090,204-1-0-002-tm
091,204-1-0-002-tp
092,204-1-0-002-tt
093,204-1-0-011-tm
094,204-1-0-011-tp
095,204-1-0-012-tm
096,204-1-0-022-tm
097,204-1-0-022-tp
098,205-1-0-112-tm
099,205-1-0-112-tp
100,205-1-0-112-tt
101,206-1-0-112-tm
102,206-1-0-112-tp
103,206-1-0-112-tt
104,207-1-0-001-tm
105,207-1-0-001-tp
106,207-1-0-001-tt
107,207-1-0-002-tm
108,207-1-0-002-tp
109,207-1-0-002-tt
110,207-1-0-011-tm
111,207-1-0-011-tp
112,207-1-0-012-tm
113,207-1-0-022-tm
114,207-1-0-022-tp
115,208-1-0-002-tm
116,208-1-0-002-tp
117,208-1-0-002-tt
118,208-1-0-011-tm
119,208-1-0-011-tp
120,208-1-0-022-tm
121,208-1-0-022-tp
122,209-1-0-001-tm
123,209-1-0-001-tp
124,209-1-0-001-tt
125,209-1-0-002-tm
126,209-1-0-002-tp
127,209-1-0-002-tt
128,209-1-0-011-tm
129,209-1-0-011-tp
130,209-1-0-012-tm
131,209-1-0-022-tm
132,209-1-0-022-tp
133,210-1-0-001-tm
134,210-1-0-001-tp
135,210-1-0-001-tt
136,210-1-0-012-tm
137,210-1-0-022-tm
138,210-1-0-022-tp
139,210-1-0-111-tm
140,210-1-0-111-tp
141,210-1-0-111-tt
142,210-1-1-001-tm
143,210-1-1-001-tp
144,210-1-1-001-tt
145,210-1-1-012-tm
146,210-1-1-111-tm
147,210-1-1-111-tp
148,210-1-1-111-tt
149,211-1-0-001-tm
150,211-1-0-001-tp
151,211-1-0-001-tt
152,211-1-0-002-tm
153,211-1-0-002-tp
154,211-1-0-002-tt
155,211-1-0-011-tm
156,211-1-0-011-tp
157,211-1-0-012-tm
158,211-1-0-022-tm
159,211-1-0-022-tp
160,212-1-0-111-tm
161,212-1-0-111-tp
162,212-1-0-111-tt
163,212-1-0-112-tm
164,212-1-0-112-tp
165,212-1-0-112-tt
166,212-1-1-111-tm
167,212-1-1-111-tp
168,212-1-1-111-tt
169,213-1-0-111-tm
170,213-1-0-111-tp
171,213-1-0-111-tt
172,213-1-1-011-tm
173,213-1-1-011-tp
174,213-1-1-011-tt
175,213-1-1-111-tm
176,213-1-1-111-tp
177,213-1-1-111-tt
178,214-1-1-011-tm
179,214-1-1-011-tp
180,214-1-1-011-tt
181,215-1-0-001-tm
182,215-1-0-001-tp
183,215-1-0-001-tt
184,215-1-0-002-tm
185,215-1-0-002-tp
186,215-1-0-002-tt
187,215-1-0-011-tm
188,215-1-0-011-tp
189,215-1-0-012-tm
190,215-1-0-022-tm
191,215-1-0-022-tp
